filename,label
BTR (1).jpg,bird
BTR (10).jpg,bird
BTR (100).jpg,bird
BTR (1000).jpg,bird
BTR (1001).jpg,bird
BTR (1002).jpg,bird
BTR (1003).jpg,bird
BTR (1004).jpg,bird
BTR (1005).jpg,bird
BTR (1006).jpg,bird
BTR (1007).jpg,bird
BTR (1008).jpg,bird
BTR (1009).jpg,bird
BTR (101).jpg,bird
BTR (1010).jpg,bird
BTR (1011).jpg,bird
BTR (1012).jpg,bird
BTR (1013).jpg,bird
BTR (1014).jpg,bird
BTR (1015).jpg,bird
BTR (1016).jpg,bird
BTR (1017).jpg,bird
BTR (1018).jpg,bird
BTR (1019).jpg,bird
BTR (102).jpg,bird
BTR (1020).jpg,bird
BTR (1021).jpg,bird
BTR (1022).jpg,bird
BTR (1023).jpg,bird
BTR (1024).jpg,bird
BTR (1025).jpg,bird
BTR (1026).jpg,bird
BTR (1027).jpg,bird
BTR (1028).jpg,bird
BTR (1029).jpg,bird
BTR (103).jpg,bird
BTR (1030).jpg,bird
BTR (1031).jpg,bird
BTR (1032).jpg,bird
BTR (1033).jpg,bird
BTR (1034).jpg,bird
BTR (1035).jpg,bird
BTR (1036).jpg,bird
BTR (1037).jpg,bird
BTR (1038).jpg,bird
BTR (1039).jpg,bird
BTR (104).jpg,bird
BTR (1040).jpg,bird
BTR (1041).jpg,bird
BTR (1042).jpg,bird
BTR (1043).jpg,bird
BTR (1044).jpg,bird
BTR (1045).jpg,bird
BTR (1046).jpg,bird
BTR (1047).jpg,bird
BTR (1048).jpg,bird
BTR (1049).jpg,bird
BTR (105).jpg,bird
BTR (1050).jpg,bird
BTR (1051).jpg,bird
BTR (1052).jpg,bird
BTR (1053).jpg,bird
BTR (1054).jpg,bird
BTR (1055).jpg,bird
BTR (1056).jpg,bird
BTR (1057).jpg,bird
BTR (1058).jpg,bird
BTR (1059).jpg,bird
BTR (106).jpg,bird
BTR (1060).jpg,bird
BTR (1061).jpg,bird
BTR (1062).jpg,bird
BTR (1063).jpg,bird
BTR (1064).jpg,bird
BTR (1065).jpg,bird
BTR (1066).jpg,bird
BTR (1067).jpg,bird
BTR (1068).jpg,bird
BTR (1069).jpg,bird
BTR (107).jpg,bird
BTR (1070).jpg,bird
BTR (1071).jpg,bird
BTR (1072).jpg,bird
BTR (1073).jpg,bird
BTR (1074).jpg,bird
BTR (1075).jpg,bird
BTR (1076).jpg,bird
BTR (1077).jpg,bird
BTR (1078).jpg,bird
BTR (1079).jpg,bird
BTR (108).jpg,bird
BTR (1080).jpg,bird
BTR (1081).jpg,bird
BTR (1082).jpg,bird
BTR (1083).jpg,bird
BTR (1084).jpg,bird
BTR (1085).jpg,bird
BTR (1086).jpg,bird
BTR (1087).jpg,bird
BTR (1088).jpg,bird
BTR (1089).jpg,bird
BTR (109).jpg,bird
BTR (1090).jpg,bird
BTR (1091).jpg,bird
BTR (1092).jpg,bird
BTR (1093).jpg,bird
BTR (1094).jpg,bird
BTR (1095).jpg,bird
BTR (1096).jpg,bird
BTR (1097).jpg,bird
BTR (1098).jpg,bird
BTR (1099).jpg,bird
BTR (11).jpg,bird
BTR (110).jpg,bird
BTR (1100).jpg,bird
BTR (1101).jpg,bird
BTR (1102).jpg,bird
BTR (1103).jpg,bird
BTR (1104).jpg,bird
BTR (1105).jpg,bird
BTR (1106).jpg,bird
BTR (1107).jpg,bird
BTR (1108).jpg,bird
BTR (1109).jpg,bird
BTR (111).jpg,bird
BTR (1110).jpg,bird
BTR (1111).jpg,bird
BTR (1112).jpg,bird
BTR (1113).jpg,bird
BTR (1114).jpg,bird
BTR (1115).jpg,bird
BTR (1116).jpg,bird
BTR (1117).jpg,bird
BTR (1118).jpg,bird
BTR (1119).jpg,bird
BTR (112).jpg,bird
BTR (1120).jpg,bird
BTR (1121).jpg,bird
BTR (1122).jpg,bird
BTR (1123).jpg,bird
BTR (1124).jpg,bird
BTR (1125).jpg,bird
